[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************

### Creating new features  task: 0 ###
New features norm: 4.157
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.7%, forg=  0.0%| TAg acc= 99.7%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 99.6%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.22/5x2/MuPlusLambda_alpha=100
************************************************************************************************************
Task  1
************************************************************************************************************
### Training model task: 1 ###
Epoch: 0, Total: 7.23, Push: 0.05, Pull: 7.14, Adapter: 0.000, Wd: 0.00
Epoch: 1, Total: 7.01, Push: 0.05, Pull: 6.86, Adapter: 0.001, Wd: 0.00
Epoch: 2, Total: 6.84, Push: 0.05, Pull: 6.65, Adapter: 0.001, Wd: 0.00
Epoch: 3, Total: 6.70, Push: 0.06, Pull: 6.46, Adapter: 0.002, Wd: 0.00
Epoch: 4, Total: 6.57, Push: 0.06, Pull: 6.30, Adapter: 0.002, Wd: 0.00
Epoch: 5, Total: 6.45, Push: 0.06, Pull: 6.14, Adapter: 0.002, Wd: 0.00
Epoch: 6, Total: 6.33, Push: 0.06, Pull: 6.00, Adapter: 0.003, Wd: 0.00
Epoch: 7, Total: 6.21, Push: 0.07, Pull: 5.85, Adapter: 0.003, Wd: 0.00
Epoch: 8, Total: 6.11, Push: 0.07, Pull: 5.72, Adapter: 0.003, Wd: 0.00
Epoch: 9, Total: 6.01, Push: 0.07, Pull: 5.60, Adapter: 0.003, Wd: 0.00
Epoch: 10, Total: 5.91, Push: 0.07, Pull: 5.48, Adapter: 0.004, Wd: 0.00
Epoch: 11, Total: 5.82, Push: 0.07, Pull: 5.37, Adapter: 0.004, Wd: 0.00
Epoch: 12, Total: 5.73, Push: 0.08, Pull: 5.26, Adapter: 0.004, Wd: 0.00
Epoch: 13, Total: 5.64, Push: 0.08, Pull: 5.17, Adapter: 0.004, Wd: 0.00
Epoch: 14, Total: 5.56, Push: 0.08, Pull: 5.07, Adapter: 0.004, Wd: 0.00
