[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************

### Creating new features  task: 0 ###
New features norm: 4.158
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.7%, forg=  0.0%| TAg acc= 99.7%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 99.6%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.22/5x2/Lambda_alpha=300_fp16
************************************************************************************************************
Task  1
************************************************************************************************************
### Training model task: 1 ###
Epoch: 0, Total: 7.30, Push: 0.05, Pull: 7.18, Adapter: 0.000, Wd: 0.00
Epoch: 1, Total: 7.15, Push: 0.05, Pull: 6.97, Adapter: 0.000, Wd: 0.00
Epoch: 2, Total: 7.04, Push: 0.05, Pull: 6.82, Adapter: 0.001, Wd: 0.00
Epoch: 3, Total: 6.93, Push: 0.05, Pull: 6.68, Adapter: 0.001, Wd: 0.00
Epoch: 4, Total: 6.85, Push: 0.05, Pull: 6.56, Adapter: 0.001, Wd: 0.00
Epoch: 5, Total: 6.76, Push: 0.06, Pull: 6.44, Adapter: 0.001, Wd: 0.00
Epoch: 6, Total: 6.67, Push: 0.06, Pull: 6.34, Adapter: 0.001, Wd: 0.00
Epoch: 7, Total: 6.59, Push: 0.06, Pull: 6.23, Adapter: 0.001, Wd: 0.00
Epoch: 8, Total: 6.51, Push: 0.06, Pull: 6.14, Adapter: 0.001, Wd: 0.00
Epoch: 9, Total: 6.44, Push: 0.06, Pull: 6.04, Adapter: 0.001, Wd: 0.00
Epoch: 10, Total: 6.37, Push: 0.06, Pull: 5.96, Adapter: 0.001, Wd: 0.00
Epoch: 11, Total: 6.29, Push: 0.06, Pull: 5.87, Adapter: 0.001, Wd: 0.00
Epoch: 12, Total: 6.23, Push: 0.06, Pull: 5.79, Adapter: 0.001, Wd: 0.00
Epoch: 13, Total: 6.16, Push: 0.06, Pull: 5.71, Adapter: 0.001, Wd: 0.00
Epoch: 14, Total: 6.10, Push: 0.07, Pull: 5.64, Adapter: 0.001, Wd: 0.00
Epoch: 15, Total: 6.04, Push: 0.07, Pull: 5.57, Adapter: 0.001, Wd: 0.00
Epoch: 16, Total: 5.99, Push: 0.07, Pull: 5.50, Adapter: 0.001, Wd: 0.00
Epoch: 17, Total: 5.93, Push: 0.07, Pull: 5.44, Adapter: 0.001, Wd: 0.00
Epoch: 18, Total: 5.88, Push: 0.07, Pull: 5.38, Adapter: 0.001, Wd: 0.00
Epoch: 19, Total: 5.83, Push: 0.07, Pull: 5.32, Adapter: 0.001, Wd: 0.00
Epoch: 20, Total: 5.78, Push: 0.07, Pull: 5.26, Adapter: 0.001, Wd: 0.00
Epoch: 21, Total: 5.72, Push: 0.07, Pull: 5.20, Adapter: 0.001, Wd: 0.00
Epoch: 22, Total: 5.67, Push: 0.07, Pull: 5.14, Adapter: 0.002, Wd: 0.00
Epoch: 23, Total: 5.63, Push: 0.08, Pull: 5.09, Adapter: 0.002, Wd: 0.00
Epoch: 24, Total: 5.58, Push: 0.08, Pull: 5.03, Adapter: 0.002, Wd: 0.00
Epoch: 25, Total: 5.53, Push: 0.08, Pull: 4.98, Adapter: 0.002, Wd: 0.00
Epoch: 26, Total: 5.49, Push: 0.08, Pull: 4.93, Adapter: 0.002, Wd: 0.00
Epoch: 27, Total: 5.44, Push: 0.08, Pull: 4.88, Adapter: 0.002, Wd: 0.00
Epoch: 28, Total: 5.40, Push: 0.08, Pull: 4.83, Adapter: 0.002, Wd: 0.00
Epoch: 29, Total: 5.36, Push: 0.08, Pull: 4.79, Adapter: 0.002, Wd: 0.00
Epoch: 30, Total: 5.32, Push: 0.08, Pull: 4.74, Adapter: 0.002, Wd: 0.00
Epoch: 31, Total: 5.28, Push: 0.08, Pull: 4.69, Adapter: 0.002, Wd: 0.00
Epoch: 32, Total: 5.24, Push: 0.09, Pull: 4.65, Adapter: 0.002, Wd: 0.00
Epoch: 33, Total: 5.20, Push: 0.09, Pull: 4.61, Adapter: 0.002, Wd: 0.00
Epoch: 34, Total: 5.16, Push: 0.09, Pull: 4.57, Adapter: 0.002, Wd: 0.00
Epoch: 35, Total: 5.12, Push: 0.09, Pull: 4.53, Adapter: 0.002, Wd: 0.00
Epoch: 36, Total: 5.09, Push: 0.09, Pull: 4.49, Adapter: 0.002, Wd: 0.00
Epoch: 37, Total: 5.05, Push: 0.09, Pull: 4.45, Adapter: 0.002, Wd: 0.00
Epoch: 38, Total: 5.01, Push: 0.09, Pull: 4.41, Adapter: 0.002, Wd: 0.00
Epoch: 39, Total: 4.98, Push: 0.09, Pull: 4.38, Adapter: 0.002, Wd: 0.00
Epoch: 40, Total: 4.95, Push: 0.09, Pull: 4.34, Adapter: 0.002, Wd: 0.00
Epoch: 41, Total: 4.91, Push: 0.10, Pull: 4.31, Adapter: 0.002, Wd: 0.00
Epoch: 42, Total: 4.88, Push: 0.10, Pull: 4.27, Adapter: 0.002, Wd: 0.00
Epoch: 43, Total: 4.85, Push: 0.10, Pull: 4.24, Adapter: 0.002, Wd: 0.00
Epoch: 44, Total: 4.82, Push: 0.10, Pull: 4.20, Adapter: 0.002, Wd: 0.00
Epoch: 45, Total: 4.78, Push: 0.10, Pull: 4.17, Adapter: 0.002, Wd: 0.00
